"Country","mean_pred30","mean_err30","aoa_prop","mean_pred30_aoa","mean_err30_aoa","Area","Area_lower","Area_upper"
"Albania",169.69,119.07,82.2,162.9,117.6,79.0133552158356,47.8454573106271,89.3282994389665
"Algeria",148.01,121.23,67.4,142.25,117.78,26.9187603047855,16.3002873817905,30.4329195294028
"Angola",145.73,125.95,0,141.75,123.97,17.0442321191678,10.3209018022642,19.2693028449339
"Antigua and Barbuda",155.27,122.89,46.3,154.77,121.32,0.376006988937378,0.22768589295516,0.425093514978474
"Argentina",166.46,126.78,9.2,166.75,121.04,2429.47540581479,1471.13562635844,2746.63575464435
"Australia",170.04,116.91,64.7,172.86,110.87,2080.50935246204,1259.82400235591,2352.11328407242
"Bahamas",156.85,123.63,39.3,154.76,120.45,116.288657717422,70.4170072683354,131.469775072347
"Bangladesh",118.82,137.07,0.7,127.67,122.04,202.473914797001,122.605311728288,228.906245534824
"Belgium",172.65,113.5,86.2,170.14,112.3,6.06585344817913,3.67309464855138,6.85773147706094
"Belize",163.39,118.6,73.7,159.31,115.09,64.1709246535688,38.8578263473167,72.5482363971364
"Benin",165.67,124.67,5.7,168.67,122.27,53.9399810088806,32.6626182579727,60.9816753399655
"Bosnia and Herzegovina",209.65,128.16,0.8,184.24,121.43,5.98149285337991,3.62201124339614,6.76235787278241
"Brazil",164.26,126.19,34.7,171.06,117.32,1066.11251621558,645.569862760297,1205.29014144496
"Brunei",198.3,145.74,0,NA,NA,0.338590637825012,0.205028932939021,0.382792577283208
"Bulgaria",200.18,122.97,58.5,193.87,121.78,19.5452872134247,11.8353815306205,22.0968627905006
"Cambodia",165.66,124.28,34.4,163.94,121.92,15.8003365167736,9.56767782157573,17.863020596345
"Canada",186.27,143.71,3.2,227.79,115.79,8534.31634695434,5167.83861839796,9648.44441885965
"Chile",234.62,127.9,33.4,201.6,118.49,458.621619559732,277.71205336662,518.493224965656
"China",124.07,121.81,34.7,108.41,117.65,1167.50933841173,706.969322567654,1319.92399885495
"Colombia",169.39,126.63,18.3,171.12,121.27,45.9311336580963,27.8129702081898,51.9272982367837
"Comores",175.09,128.91,0.7,180.72,124.15,0.123980985397339,0.0750749911575582,0.140166311860302
"Costa Rica",148.61,125.81,2.6,149.71,122.89,15.0034336748886,9.08512419759691,16.9620846028131
"Croatia",202.58,124.31,29.6,193.42,119.34,51.7616174455203,31.3435399756611,58.5189332865083
"Cuba",178.55,119.92,90.9,179.13,119.44,783.790957436207,474.613901561717,886.112393938482
"Cyprus",158.61,117.93,89.5,155.27,117.28,2.98048062389374,1.80478930512597,3.36957296543026
"Democratic Republic of the Congo",163.24,126.34,0.5,151.15,123.9,2.22677493231596,1.34839312510482,2.517473373884
"Denmark",171.42,118.18,48.6,162.38,113.05,263.729987562333,159.698089354354,298.159105326558
"Dominican Republic",195.03,123.26,41.8,174.84,120.22,17.3728014126358,10.5198624470978,19.6407658229733
"East Timor",167.97,126.55,34.2,163.53,123.11,0.298483620544433,0.180742676800262,0.33744971544097
"Ecuador",136.89,128.7,0.9,142.66,124.01,0.954283135490417,0.577853109726031,1.07886178790645
"Egypt",146.63,117.09,92.3,144.07,116.26,176.829119791245,107.076456620996,199.913603454666
"El Salvador",154.25,122.8,50.5,153.2,121.55,3.80319875887262,2.30297502699899,4.29969435711789
"Equatorial Guinea",178.7,125.79,2,176.41,122.11,0.217272890823364,0.13156662939131,0.245637181188194
"Estonia",219.54,116.9,23.4,211.06,113.97,269.4490538246,163.161191762301,304.624777644757
"Federal Republic of Somalia",117.15,123.44,45.9,116.13,122.9,0.267443812446594,0.161946945253128,0.302357758331722
"Finland",188.37,123.47,11.4,177.93,118.58,8.03611084325791,4.86615708501776,9.08519975857699
"France",162.98,118.64,81.6,158.25,116.74,678.473853407935,410.840568672625,767.046474272325
"Gabon",162.03,125.04,53.6,159.02,122.01,34.6934576750412,21.0081491111841,39.2225791108802
"Gambia",132,127.25,0.3,145.79,122.13,40.4971861632628,24.52251757291,45.783966041509
"Georgia",234.36,121.84,63.2,232.56,119.57,65.0394757817459,39.3837656117839,73.5301741346736
"Germany",157.88,113.02,71.9,143.1,109.33,346.034734309341,209.536603820535,391.208477076202
"Ghana",145.83,124.38,5.8,146.91,122.5,16.9567131174088,10.267905866943,19.1703585136322
"Greece",170.87,118.55,83.2,166.81,117.18,213.349755002252,129.191028115551,241.201892363783
"Guatemala",192.07,125.12,33.8,199.25,121.86,11.556800858574,6.99806280363475,13.0655047470291
"Guinea",171.9,154.93,0,NA,NA,3.28094929707336,1.98673400341813,3.70926687586477
"Guinea-Bissau",136.49,134.55,2.2,125.01,121.68,68.8186609540682,41.6721995396607,77.8027200072839
"Guyana",170.37,141.28,0,NA,NA,33.2818420594754,20.1533645688865,37.6266815305847
"Haiti",157.6,127,4.1,184.12,119.6,38.6446420082626,23.4007347800898,43.689578092159
"Honduras",175.59,128.01,0.3,150.88,121.36,393.118293545925,238.047409586633,444.43864641465
"India",139.07,132.23,8.1,153,120.2,52.3024802493057,31.6710520540779,59.1304040228158
"Indonesia",178.56,139.57,0.1,180.18,122.09,170.730555923566,103.383554624997,193.018891316046
"Iran",209.04,127.41,15.5,128.88,114.06,11.0989706204453,6.72082996047723,12.5479062158434
"Iraq",211.93,129.93,0,NA,NA,1.53767723656464,0.931119433905924,1.73841614817035
"Ireland",165.85,108.88,90.4,162.14,106.94,130.694863422589,79.1404882316713,147.756665478345
"Israel",142.25,111.1,100,142.25,111.1,0.0875695382995605,0.0530265370326058,0.0990014652280889
"Italy",164.25,115.97,89.3,160.04,114.87,228.717124624892,138.496528752097,258.575423604048
"Ivory Coast",172.97,125.31,31.3,174.22,121.12,2.55520206338501,1.54726768544075,2.88877563067181
"Jamaica",176.45,122.59,51.5,176.65,121.61,20.6782428835602,12.5214273516368,23.3777222487085
"Japan",180.9,128.61,4.2,212.61,119.15,267.641536731014,162.066674491098,302.58129489762
"Kenya",123.54,125.1,50.6,119.98,123.66,1.5739428935318,0.953079606809913,1.77941617223039
"Kuwait",233.04,126.98,0,NA,NA,0.892080247787476,0.540187001255392,1.00853850947436
"Latvia",184.26,120.88,25,177.95,117.04,163.608665110951,99.0709909841401,184.967260128596
"Liberia",195.65,145.03,0,NA,NA,0.535565944862366,0.324304637892436,0.605482389164386
"Libya",147.7,113.82,99.6,147.57,113.79,2.00821255284882,1.21604566348977,2.27037836537813
"Lithuania",170.07,121.39,8.4,168.26,117.76,37.9740730398231,22.9946809064673,42.9314684606465
"Madagascar",152.57,127.15,26.2,131.66,119.89,153.321910275742,92.8419871911929,173.337601906075
"Malaysia",195.47,137.77,0,NA,NA,3.65185566166687,2.21133128301627,4.1285938960846
"Mauritania",139.34,119.85,68,144.5,118.18,28.2633825237121,17.114504988407,31.9530779365032
"Mexico",171.64,118.79,79.6,169.13,116.82,1194.6863992032,723.426020278752,1350.64893918459
"Montenegro",194.46,129.49,18.1,192.47,118.95,26.6645933965836,16.1463800844364,30.1455719332741
"Morocco",114.95,116.53,75,108.94,113.35,43.019871939617,26.050095465166,48.6359804864725
"Mozambique",135.42,125.15,29.5,131.52,121,1343.18852149005,813.349450729267,1518.53754498706
"Myanmar",129.19,162.63,0,NA,NA,122.993236625954,74.4768733894183,139.049615603324
"Namibia",150.4,119.52,69.7,149.27,118.91,4.08380448475046,2.47289198903575,4.61693227515127
"Netherlands",181.83,114.78,79.1,160.04,110.98,183.325621811004,111.010324626041,207.258203315559
"New Zealand",183.97,125.09,53.9,175.11,116.5,244.819224475745,148.246935236178,276.779601785622
"Nicaragua",162.46,128.8,8.5,162.68,123.64,559.71799637323,338.929582578946,632.787414796249
"Nigeria",169.71,127.22,3.8,157.82,123.56,21.4247458084412,12.9734619947308,24.2216787750916
"North Korea",132.06,125.35,35.6,122.07,121.92,80.0100900792562,48.4490164839787,90.4551548939421
"Norway",187.49,121.45,36.3,170.75,116.24,4.71720487565231,2.85643893854379,5.33302108860163
"Oman",156.12,121.02,67.5,168.6,119.53,0.853556267227173,0.516859331365935,0.964985344801486
"Pakistan",119.32,121.05,60.1,119.74,119.41,1.94403805987548,1.17718567639519,2.19782609482834
"Panama",160.88,132.86,2.9,140.99,121.6,2.4512124106369,1.48429817253099,2.77121045686211
"Papua New Guinea",185.78,138.09,0.2,186.95,122.52,53.2512886149825,32.2455899917714,60.2030763269832
"Peru",145.87,125.54,13,129.47,120.02,10.0831197967911,6.10569537867972,11.3994392723397
"Philippines",164.78,124.99,47.5,149.61,122.16,7.28475253756714,4.41118233243685,8.23575399673891
"Poland",183.46,120.51,20,179.49,118.04,161.172045268819,97.5955291420186,182.212547254016
"Portugal",109.84,108.51,96.3,108.87,107.71,157.698632227968,95.4922513491157,178.285691099878
"Qatar",182.95,117.74,99.1,182.86,117.71,0.645633406402588,0.390954484845858,0.72991881052751
"Republic of the Congo",159.17,125.73,25.6,158.39,122.52,1.78448046365357,1.08056775480752,2.01743875785045
"Romania",187.77,123.24,28.7,187.15,122.28,667.227914479857,404.030744062197,754.332413499997
"Russia",208.2,132.76,20.8,180.12,119.29,5140.54057458923,3112.78408495888,5811.62192734011
"Saudi Arabia",100.7,113.6,79.6,91.53,109.09,1.9105657088852,1.15691695174709,2.15998403402712
"Senegal",127.1,122.15,37,126.67,120.94,52.4327722779888,31.7499486112389,59.2777052647503
"Sierra Leone",141.94,136.25,0,NA,NA,21.0827475116574,12.7663696004846,23.8350336797243
"Slovenia",221,119.44,94,219.94,119.23,1.2169057802297,0.736880662768849,1.37576899029826
"South Africa",165.13,114.6,81,158.85,112.5,89.1464306357796,53.9814026341226,100.784215883443
"South Korea",125.03,127.32,6.6,114.86,123.52,180.826360269341,109.496930958943,204.432671065217
"Spain",117.78,111.96,95.8,116.61,111.3,341.474089368173,206.774967610485,386.052454327559
"Sri Lanka",185.46,127.55,11.1,196.62,121.05,6.15415036682129,3.72656164080874,6.95755527984035
"Suriname",157.88,134.34,0,NA,NA,42.4387124804382,25.6981822978432,47.9789524935528
"Sweden",178.61,120.88,31.5,164.59,115.81,117.084142429398,70.8987021631305,132.369107803585
"Syria",159.49,112.98,98.1,159.18,112.73,0.111371154029846,0.0674392801218791,0.125910306793901
"Taiwan",137.72,125.57,52,133.06,119.14,2.24352864780426,1.35853810853199,2.53641423406853
"Tanzania",140.53,125.44,25.1,137.49,122.57,5.94723627313232,3.60126763943999,6.72362920406871
"Thailand",180.6,127.74,21,185.52,121.33,18.2533789635696,11.0530841474903,20.6362999948127
"Togo",159.51,124.25,13,155.86,122.05,5.21723694168854,3.15922652178372,5.89833076317443
"Tonga",230.67,133.17,0,NA,NA,0.100173462463379,0.0606586710418385,0.113250791924014
"Trinidad and Tobago",179.1,122.37,58.1,166.5,118.66,0.603809856613159,0.365628805907622,0.682635328273337
"Tunisia",134.9,109.91,97.8,131.81,109.43,53.7980930880279,32.5766999667989,60.8212643987255
"Turkey",189.2,117.65,82.9,187.61,116,252.439795387582,152.861467795248,285.395014185829
"Ukraine",175.85,123.52,38.7,172.7,121.95,923.816369261469,559.40437585037,1044.41768147403
"United Arab Emirates",124.28,112.3,80.4,116.67,109.72,7.36592989597321,4.46033817230211,8.32752880315679
"United Kingdom",171.6,105.58,93.2,167.37,104.12,535.857182321679,324.480992755342,605.811646755109
"United States",201.63,104.27,82,198.86,98.54,18509.7153509472,11208.3051433071,20926.1002887784
"Uruguay",185.71,122.46,50.6,183.21,119.55,286.623597848168,173.561002157195,324.041404202054
"Vanuatu",250.3,134.64,0,NA,NA,0.135408948928833,0.0819950382787051,0.153086159973704
"Venezuela",174.25,129.38,13.1,178.49,119.04,165.196880480133,100.032713093506,186.762812003141
"Vietnam",165.93,129.91,13.4,166.02,122.72,12.0804360385971,7.31514292994635,13.6574988476481
"Western Sahara",132.52,118.93,100,132.52,118.93,0.262278571205139,0.158819204016953,0.296518211143392
